,Brand,Model,YOM,Fuel Type,Millage(KM),Price
333,DAIHATSU,MIRA SAFETY,2016,Petrol,99000.0,55.35
334,DAIHATSU,MOVE,2016,Petrol,99000.0,62.2
335,DAIHATSU,MOVE,2015,Petrol,110000.0,59.9
336,DAIHATSU,MOVE,2016,Petrol,99000.0,65.9
337,DAIHATSU,MOVE,2017,Petrol,88000.0,66.5
338,DAIHATSU,MOVE,2011,Petrol,154000.0,46.0
339,DAIHATSU,MOVE,2016,Petrol,99000.0,58.5
340,DAIHATSU,MOVE,2006,Petrol,209000.0,39.36249999999998
341,DAIHATSU,MOVE,2015,Petrol,110000.0,68.0
342,DAIHATSU,MOVE JAPAN,2017,Petrol,88000.0,69.5
343,DAIHATSU,SPORT,1987,Diesel,418000.0,6.1
344,DAIHATSU,TANK,2019,Petrol,66000.0,81.0
345,DAIHATSU,TANTO,2017,Petrol,88000.0,73.0
346,DAIHATSU,YRV,2003,Petrol,242000.0,34.0
347,DATSUN,B110,1972,Petrol,583000.0,5.75
348,DATSUN,B2 10,1979,Petrol,506000.0,5.9
349,DATSUN,B310,1980,Petrol,495000.0,9.5
350,DATSUN,DATSUN,2017,Petrol,88000.0,4.65
351,DATSUN,DATSUN,2017,Petrol,88000.0,4.65
352,DATSUN,REDI-GO,2016,Petrol,99000.0,23.575000000000003
353,DATSUN,REDI-GO,2016,Petrol,99000.0,27.75
354,DATSUN,REDI-GO,2017,Petrol,88000.0,28.95
355,DATSUN,REDI-GO,2017,Petrol,88000.0,29.491666666666664
356,DATSUN,REDI-GO,2016,Petrol,99000.0,28.5
357,DATSUN,REDI-GO,2017,Petrol,88000.0,29.0
358,DATSUN,REDI-GO,2017,Petrol,88000.0,27.5
359,DATSUN,REDI-GO,2016,Petrol,99000.0,30.25
360,DATSUN,REDI-GO,2016,Petrol,99000.0,26.0
361,DATSUN,REDI-GO,2016,Petrol,99000.0,25.791666666666664
362,DATSUN,REDI-GO,2017,Petrol,88000.0,31.5
363,DATSUN,REDI-GO,2016,Petrol,99000.0,25.791666666666664
364,DATSUN,REDI-GO,2017,Petrol,88000.0,31.5
365,DATSUN,REDI-GO,2017,Petrol,88000.0,28.5
366,DATSUN,REDI-GO,2016,Petrol,99000.0,29.25
367,DATSUN,REDI-GO,2017,Petrol,88000.0,29.491666666666664
368,FIAT,127,1979,Petrol,506000.0,11.3
369,FIAT,127,1980,Petrol,495000.0,8.0
370,FIAT,128,1977,Petrol,528000.0,12.8
371,FIAT,BRAVO,2004,Diesel,231000.0,35.0
372,FIAT,GRANDE PUNTO,2007,Petrol,198000.0,35.0
373,FIAT,GRANDE PUNTO,2007,Petrol,198000.0,28.5
374,FIAT,LINEA,2011,Petrol,154000.0,39.5
375,FIAT,LINEA,2011,Diesel,154000.0,34.9
376,FIAT,LINEA,2016,Petrol,99000.0,32.0
377,FIAT,LINEA,2012,Diesel,143000.0,37.5
378,FIAT,LINEA G,2011,Diesel,154000.0,34.9
379,FIAT,PUNTO,2008,Petrol,187000.0,31.75
380,FIAT,PUNTO,2001,Petrol,264000.0,12.25
381,FIAT,PUNTO,2001,Petrol,264000.0,12.25
382,FIAT,PUNTO,2004,Petrol,231000.0,23.0
383,FIAT,PUNTO,2007,Petrol,198000.0,20.5
384,FIAT,PUNTO,2007,Petrol,198000.0,40.0
385,FIAT,PUNTO SX,1998,Petrol,297000.0,13.0
386,FIAT,TEMPRA EFI,1999,Petrol,286000.0,8.15
387,FIAT,UNO,1996,Petrol,319000.0,12.5
388,FIAT,UNO,1996,Petrol,319000.0,11.75
389,FIAT,UNO,1988,Petrol,407000.0,6.9
390,FIAT,UNO 60,1987,Petrol,418000.0,7.75
391,FORD,FESTIVA,1997,Petrol,308000.0,16.5
392,FORD,FESTIVA,1994,Petrol,341000.0,15.0
393,FORD,FESTIVA,1995,Petrol,330000.0,14.75
394,FORD,FOCUS,2011,Petrol,154000.0,58.5
395,FORD,FOCUS MK3,2012,Petrol,143000.0,84.9
396,FORD,FOCUS ST,2017,Petrol,88000.0,110.0
397,FORD,FOCUS TITANIUM,2015,Petrol,110000.0,118.0
398,FORD,FORD,1998,Petrol,297000.0,21.5
399,FORD,FORD,2001,Petrol,264000.0,29.75
400,FORD,LASER,2001,Petrol,264000.0,27.0
401,FORD,LASER,1992,Petrol,363000.0,15.8
402,FORD,LASER,1996,Petrol,319000.0,12.75
403,FORD,LASER,2000,Petrol,275000.0,26.9
404,FORD,LASER,1987,Petrol,418000.0,9.6
405,FORD,LASER,2000,Petrol,275000.0,30.5
406,FORD,LASER,2000,Petrol,275000.0,29.75
407,FORD,LASER,2000,Petrol,275000.0,32.0
408,FORD,LASER,1996,Petrol,319000.0,18.75
409,FORD,LASER,2000,Petrol,275000.0,29.75
410,FORD,LASER,1987,Petrol,418000.0,12.5
411,FORD,LASER,1984,Petrol,451000.0,7.5
412,FORD,LASER,1998,Petrol,297000.0,23.9
413,FORD,LASER,1985,Diesel,440000.0,13.75
414,FORD,LASER,2000,Petrol,275000.0,29.5
415,FORD,LASER,1985,Petrol,440000.0,12.9
416,FORD,LASER,2001,Petrol,264000.0,29.75
417,FORD,LASER,1991,Petrol,374000.0,14.0
418,FORD,LASER,1988,Petrol,407000.0,15.5
419,FORD,LASER,1994,Petrol,341000.0,15.75
420,FORD,LASER BF,1988,Petrol,407000.0,13.8
421,FORD,LASER BF GHIA,1985,Petrol,440000.0,13.5
422,FORD,LASER BF GHIA,1986,Petrol,429000.0,12.75
423,FORD,LASER BG3,1991,Petrol,374000.0,7.2
424,FORD,LASER GHIA,1986,Petrol,429000.0,12.5
425,FORD,LASER GHIA,1987,Petrol,418000.0,10.9
426,FORD,LASER GHIA,1996,Petrol,319000.0,23.0
427,FORD,LASER GL,1982,Petrol,473000.0,10.25
428,FORD,LASER GL,1989,Petrol,396000.0,12.0
429,FORD,LASER GL SEDAN,1991,Petrol,374000.0,9.8
430,FORD,MONDEO,2003,Petrol,242000.0,22.5
431,FORD,MONDEO,2003,Petrol,242000.0,13.5
432,FORD,TELSTAR,1985,Diesel,440000.0,8.75
433,FORD,TELSTAR,1985,Diesel,440000.0,95.0
434,FOTON,PROTON SAGA,2011,Petrol,154000.0,9.95
435,FOTON,PROTON SAGA,2009,Petrol,176000.0,9.95
436,FOTON,SAGA,2011,Petrol,154000.0,9.95
437,HONDA,ACCORD,1991,Petrol,374000.0,19.0
438,HONDA,ACCORD,1999,Petrol,286000.0,26.5
439,HONDA,ACCORD,2003,Petrol,242000.0,46.0
440,HONDA,ACCORD CD 3,1997,Petrol,308000.0,30.5
441,HONDA,ACCORD CF3 EURO,1999,Petrol,286000.0,38.9
442,HONDA,ACCORD CF9 EX,2002,Petrol,253000.0,39.75
443,HONDA,ACCORD CL7,2007,Petrol,198000.0,57.5
444,HONDA,ACCORD EX PREMIUM,2013,Hybrid,132000.0,147.0
445,HONDA,ACCORD I-VTEC,1999,Petrol,286000.0,38.5
446,HONDA,ACCORD I-VTEC,2009,Petrol,176000.0,83.0
